,LISACBE,TwinLISA,LISAGrande,LISAU,GoBIGLISA,ALIA,ALIAtwin,GoBIGALIA
XX1.1.bXX,126.66993750715922,89.56917178378848,147.94188725695543,485.1049596557295,132.18949028754275,7.260162550636734,5.133710172071855,5.133710172071855
1.1.c,1148.732349586162,812.2764341607309,1327.1408575522578,4351.233319411206,1189.051266213144,75.51018672707532,53.3937650833774,53.3937650833774
1.1.d,609.6428028853732,431.08256002182105,547.4236757299798,1787.8956322669026,531.3613418784408,88.2913433465246,62.43140760039731,62.43140760039731
1.1.e,835.7570797612952,590.9694985238782,853.2918077629621,2793.2844571570427,791.7910137299575,97.27559217020416,68.78423086748838,68.78423086748838
1.1.f,341.0526015521911,241.16060729886797,397.8738892524348,1304.622673427527,355.6094066999374,19.876171124653673,14.05457538626686,14.05457538626686
1.1.g,1148.732349586162,812.2764341607309,1327.1408575522578,4351.233319411206,1189.051266213144,75.51018672707532,53.3937650833774,53.3937650833774
1.1.h,1148.732349586162,812.2764341607309,1327.1408575522578,4351.233319411206,1189.051266213144,75.51018672707532,53.3937650833774,53.3937650833774
1.1.i,1148.732349586162,812.2764341607309,1327.1408575522578,4351.233319411206,1189.051266213144,75.51018672707532,53.3937650833774,53.3937650833774
XX1.2.bXX,108.01278089076025,76.37656982267332,124.2854142579364,407.47115988196754,111.4672614327328,7.401987903137041,5.233995840568996,5.233995840568996
1.2.c,69.43262510097537,49.09628004448299,80.54988585230416,264.106603230467,72.09340246499137,4.3552239639068455,3.079608398464686,3.079608398464686
1.2.d,287.5286844197192,203.31348253883024,324.30974788570046,1063.0195766904947,292.37069065665247,22.990760891354583,16.256922930915298,16.256922930915298
1.2.e,287.5286844197192,203.31348253883024,324.30974788570046,1063.0195766904947,292.37069065665247,22.990760891354583,16.256922930915298,16.256922930915298
XX1.3.bXX,2.1120576685112304,1.4934502996613401,1.8318270520413458,5.978403432857936,1.8022654324522909,0.32317339882349483,0.22851810180719778,0.22851810180719778
1.3.c,6.450289444511689,4.561043406830224,4.800285921407331,15.597572099225946,5.0569350731481695,1.1148471480851803,0.7883159783975141,0.7883159783975141
1.3.d,9.702026939432118,6.860369040127015,2.567002545468242,6.526384769478738,5.259503156933827,3.1598871139092104,2.2343776060291907,2.2343776060291907
1.3.e,9.398485801273525,6.645733042965993,3.374908653108722,9.87903320571142,5.584460448200862,2.5978875230690646,1.8369838843220592,1.8369838843220592
1.3.f,6.450289444511689,4.561043406830224,4.800285921407331,15.597572099225946,5.0569350731481695,1.1148471480851803,0.7883159783975141,0.7883159783975141
1.3.g,56.384992799189384,39.870210765461465,66.10984405320399,216.78433552813954,59.01434086100695,3.030327714270315,2.142765275978071,2.142765275978071
2.1.a,2.43006559810541,1.7183158631484787,0.24301044496599716,0.023404797977132446,0.8591583480392827,2.430103613442466,1.7183427440511003,1.7183427440511003
2.1.b,2.43006559810541,1.7183158631484787,0.24301044496599716,0.023404797977132446,0.8591583480392827,2.430103613442466,1.7183427440511003,1.7183427440511003
2.1.c,0.00042361295215014787,0.00029953959106382205,5.535091805339262e-05,4.6980555052977485e-05,0.00017241175280047002,0.00035854275359239714,0.0002535280124104814,0.0002535280124104814
2.1.d,0.0669795302190831,0.04736168001860294,0.006706602308340481,0.0007709378127296981,0.023682091750468218,0.06703192831089218,0.047398731064642374,0.047398731064642374
2.1.e,0.01633572436730961,0.011551101475718948,0.0016403774521019086,0.0003532162005368694,0.005777909154413686,0.016354929024758956,0.011564681219231748,0.011564681219231748
2.1.f,0.00042361295215014787,0.00029953959106382205,5.535091805339262e-05,4.6980555052977485e-05,0.00017241175280047002,0.00035854275359239714,0.0002535280124104814,0.0002535280124104814
XX2.2.bXX,0.0010577320791653616,0.0007479295258563734,0.0001606709101372755,0.0001413841332785363,0.00046119329098523936,0.0007499125243580395,0.0005302682312702916,0.0005302682312702916
2.3.b,0.0010577320791653616,0.0007479295258563734,0.0001606709101372755,0.0001413841332785363,0.00046119329098523936,0.0007499125243580395,0.0005302682312702916,0.0005302682312702916
2.3.c,0.0005561792991815626,0.0003932781540068645,9.529090185495515e-05,8.417462321123176e-05,0.0002574409650762123,0.00029342345307433544,0.0002074817134280353,0.0002074817134280353
XX3.1.aXX,384.64515709556207,271.98519893283685,38.464999777625145,3.703410748075769,135.99265134728435,384.6499031778135,271.9885549197808,271.9885549197808
3.1.b,1445.8879241087407,1022.3971559730306,144.5898163960877,13.913302606525935,511.19868771535084,1445.897987940185,1022.4042721764898,1022.4042721764898
XX3.2.aXX,,,,,,,,
3.2.b,126.47357236037251,89.4303206569069,12.656129091539155,1.2540347413234518,44.71620049608822,126.53965641878297,89.47704914273727,89.47704914273727
3.3.a,0.2602646836669885,0.18403492272429922,0.03197278233610034,0.032566857450780015,0.10306579894790492,0.23002481757663298,0.16265210834963573,0.16265210834963573
3.3.b,0.2602646836669885,0.18403492272429922,0.03197278233610034,0.032566857450780015,0.10306579894790492,0.23002481757663298,0.16265210834963573,0.16265210834963573
3.3.c,1.9218949841568747,1.3589849760257382,0.19462687715920965,0.07293709865335565,0.6829000366148655,1.918427177769668,1.3565328666135026,1.3565328666135026
XX3.3.dXX,52.73450821148624,37.288928358879595,5.324874582528316,1.736424111413354,18.695999130626088,52.72520881985779,37.28235269599821,37.28235269599821
3.3.e,111.92010020626077,79.13946180692491,11.25199475350423,2.7460075155395383,39.59711328719137,112.04443945921835,79.22738293585888,79.22738293585888
3.3.f,0.1575196915356623,0.11138324205528004,0.02175914800735773,0.02538644333011049,0.06584932772170472,0.1250038163962694,0.08839104624800023,0.08839104624800023
3.4.a,1.570464290145255,1.1104859491730275,0.19638553003198458,0.31052514696009537,0.628087838518962,1.3937054455910578,0.9854985715540557,0.9854985715540557
3.4.b,0.7888608102949912,0.5578088283719029,0.12987080348716662,0.2766001912794016,0.3518523401205876,0.5834275994990572,0.41254561193717254,0.41254561193717254
3.5.a,1.355803893274559,0.9586981268935628,0.5488140574884145,1.6815854130265095,0.8299347901498002,0.3672287128307213,0.25966991308901033,0.25966991308901033
3.6.a,0.11199566892867825,0.07919289696299191,0.026955494707957387,0.06965512222748062,0.0572489487364078,0.05438889756489188,0.038458758289395545,0.038458758289395545
XX4.1.aXX,5560839704.542867,3932107464.1736584,557824370.0769733,119800152.00561494,1966466586.7884986,5567525586.236472,3936835096.4574175,3936835096.4574175
XX4.1.bXX,4404632.128034201,3114545.2463651174,442215.73933910066,110561.103327321,1557790.6266929985,4410142.435422925,3118441.622086107,3118441.622086107
4.1.c,59103092425.458,41792197443.13662,5920692119.091555,805824288.2096182,20897756303.395138,59159563802.089615,41832128736.49577,41832128736.49577
4.1.d,212030040092.97104,149927879164.9954,21225901620.8055,2260331814.2621546,74966938837.82033,212181906138.31384,150035264675.48926,150035264675.48926
XX5.1.aXX,1.5048922123017536,1.0641194882733955,1.4274491479540539,4.667153316834169,1.3577158556410014,0.20181640872383902,0.1427057511633425,0.1427057511633425
XX5.1.bXX,10.392720446026336,7.348763102361303,7.374720998047293,23.920357648324448,7.955223943739555,1.8573419506524054,1.3133390882885658,1.3133390882885658
XX5.1.cXX,11.251374615659124,7.955923288402753,5.006085125107004,15.588523299770765,7.165136499786524,2.681719965478921,1.896262372833499,1.896262372833499
XX5.1.dXX,21.191479659121484,14.984638970341589,3.890612487680271,3.4843145512175995,10.270055286354786,7.858250103903247,5.556621936729878,5.556621936729878
5.1.e,8.263180045735114,5.842950644504664,6.730283363357744,21.92867585318171,6.800399356456466,1.3272339367345878,0.9384961168859443,0.9384961168859443
XX5.2.aXX,0.6632131873250977,0.46896254212992067,0.1868005916497092,0.4913696595673495,0.3660769449165933,0.210259398730108,0.1486758466502655,0.1486758466502655
XX5.2.bXX,1.1838784379903784,0.8371284716035342,0.23194177357295562,0.36991534306570323,0.5872701372705796,0.42782347312289853,0.3025168789959822,0.3025168789959822
5.2.d,0.4515721419430494,0.31930972376286443,0.15535170468838566,0.4473565511212418,0.2647385447089739,0.12835697557438652,0.09076208784124476,0.09076208784124476
XX5.3.aXX,0.5057816072643848,0.3576416042960777,0.12692992923129232,0.3103472882159826,0.2700875137100366,0.16816795749453559,0.1189127031226772,0.1189127031226772
XX5.3.bXX,0.9472489094751705,0.6698061273614551,0.18149227956618533,0.2618900571166497,0.4662948485890961,0.34488647798762934,0.24387156732459764,0.24387156732459764
5.3.d,0.334118109895823,0.23625718122456854,0.10219351848440386,0.28017989799911797,0.18896749659466727,0.10171904864504501,0.07192622907275562,0.07192622907275562
XX5.4.aXX,0.15764358460420363,0.1114708476841876,0.029577662876284327,0.03613859977266176,0.07701970222427024,0.05782142458717842,0.04088592142346043,0.04088592142346043
XX5.4.bXX,0.3254882671548495,0.23015496090185272,0.05988338581847031,0.05705023850696696,0.15786977356104148,0.12023694884807379,0.08502036187965302,0.08502036187965302
5.4.d,0.0946409224849554,0.06692123806686237,0.0182273491479423,0.027139891487321342,0.04667278023266278,0.03439662330761684,0.024322085590735124,0.024322085590735124
5.5.a,1518.3827873981209,1073.6587654061432,1745.973035442401,5724.151683848127,1566.168724362734,104.6088663701044,73.96963878253818,73.96963878253818
XX5.5.bXX,1413.5649761764626,999.5413803021772,1594.2625905263253,5225.6549028679165,1437.2849168916055,113.08652543752308,79.96424899769757,79.96424899769757
5.5.c,1352.503768405047,956.3645862195685,1567.8965345756994,5140.772125714869,1403.5526720692728,85.587138207478,60.51924580885795,60.51924580885795
5.6.a,22.114964564905705,15.63764140954503,17.606675478012043,57.32834162444378,17.97086666971302,3.624278778733566,2.5627521013530035,2.5627521013530035
5.6.b,4.813908903087247,3.403947629387287,3.268540870535653,10.580364147968723,3.607459454472376,0.8857135603432519,0.6262940647075937,0.6262940647075937
XX5.7.aXX,1.6621252032152078,1.1753000023745417,0.1668924286779201,0.03441655629664225,0.587888468996039,1.6640461859352467,1.1766583422824235,1.1766583422824235
5.7.b,0.024184780581940287,0.017101222350998715,0.002534855827260392,0.0014240493986340105,0.008830593790128141,0.023593960951284926,0.016683449783704177,0.016683449783704177
